# ----------------------------------------
# Pages et écrans: Chemin de la page et classe de l'écran
# Compte : Oikos
# Propriété : Oikos US GA4
# ----------------------------------------
# 
# Tous les utilisateurs
# Date de début : 20260101
# Date de fin : 20260331
Chemin de la page et classe de l'écran,Vues,Utilisateurs actifs,Vues par utilisateur actif,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements,Événements clés,Revenu total
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/mixed-berry-multipack,31,9,3.4444444444444446,8.11111111111111,74,0,0
/all-products/strawberry/,31,15,2.066666666666667,2.4,76,0,0
/greek-yogurt-recipes/desserts/recipe/waffle-sandwiches,31,16,1.9375,16.6875,59,0,0
/all-products/coffee/,30,15,2,3.466666666666667,74,0,0
/all-products/plain/,30,17,1.7647058823529411,0.7647058823529411,72,0,0
/content/edp/noram/oikos/us/en/stronger-makes-everything-better-with-Kathryn-Hahn-and-Derrick-Henry.html,30,4,7.5,38,78,0,0
/greek-yogurt-recipes/dips-and-dressings/recipe/buffalo-yogurt-dip,30,14,2.142857142857143,18.642857142857142,59,0,0
/greek-yogurt-recipes/dips-and-dressings/recipe/buffalo-yogurt-dip/,30,11,2.727272727272727,17.636363636363637,65,0,0
/where-to-buy-greek-yogurt/,30,13,2.3076923076923075,3.076923076923077,112,0,0
/all-products/greek-yogurt/triple-zero/,29,15,1.9333333333333333,0,71,0,0
/all-products/oikos-pro/greek-yogurt-cherry/,29,16,1.8125,3.375,72,0,0
/all-products/triple-zero/product/strawberry,29,15,1.9333333333333333,4.866666666666666,75,0,0
/greek-yogurt-recipes/smoothies/recipe/berry-banana-smoothie/,29,15,1.9333333333333333,28,75,0,0
/stronger-makes-everything-better-with-kathryn-hahn-and-derrick-henry/,29,17,1.7058823529411764,1.3529411764705883,76,0,0
/greek-yogurt-recipes/dips-and-dressings/recipe/crab-dip/,28,13,2.1538461538461537,17.615384615384617,68,0,0
/greek-yogurt-recipes/dips-and-dressings/recipe/greek-style-feta-dip,28,13,2.1538461538461537,17.692307692307693,49,0,0
/all-products/fusion/product/vanilla,27,10,2.7,6.1,64,0,0
/products/,27,14,1.9285714285714286,5.357142857142857,62,0,0
/all-products/greek-yogurt/triple-zero/vanilla/,26,17,1.5294117647058822,0.7058823529411765,64,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/banana,26,13,2,1.4615384615384615,69,0,0
/content/edp/noram/oikos/us/en/all-products.html,26,10,2.6,28.7,86,0,0
/content/edp/noram/oikos/us/en/greek-yogurt-recipes/smoothies/recipe.html,26,4,6.5,314.75,67,0,0
/greek-yogurt-recipes//mini-crab-cakes.aspx,26,13,2,1,62,0,0
/greek-yogurt-recipes/breakfast/recipe/breakfast-doughnuts/,26,12,2.1666666666666665,8.916666666666666,59,0,0
/greek-yogurt-recipes/desserts/recipe/golden-yellow-cupcakes/,26,12,2.1666666666666665,5.75,61,0,0
/webapp/,26,10,2.6,1.6,59,0,0
/all-products/plain-greek-yogurt/,25,12,2.0833333333333335,0.6666666666666666,59,0,0
/all-products/pro/plain/,25,14,1.7857142857142858,0.35714285714285715,55,0,0
/cooking-with-greek-yogurt/,25,14,1.7857142857142858,0.6428571428571429,59,0,0
/greek-yogurt-protein/,25,16,1.5625,0.5,59,0,0
/greek-yogurt-recipes/desserts/recipe/raspberry-yogurt-chocolate-roll/,25,7,3.5714285714285716,74,53,0,0
/all-products/oikos-protein-shakes,24,14,1.7142857142857142,0.14285714285714285,53,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/strawberry-multipack,24,14,1.7142857142857142,3.142857142857143,69,0,0
/all-products/triple-zero/product/mixed-berry,24,12,2,0.8333333333333334,64,0,0
/greek-yogurt/oikos-protein-shakes/vanilla/18-pack/,24,8,3,0,48,0,0
/greek-yogurt-protein/pro-fuel-dairy-drink/,23,12,1.9166666666666667,0.4166666666666667,49,0,0
/studio/69851a73b4171e9f589e0fdd,23,8,2.875,7.375,76,0,0
/all-products/greek/triple-zero/,22,16,1.375,0,54,0,0
/all-products/oikos-protein-shakes/product/strawberry-12-pack/,22,4,5.5,40.5,77,0,0
/all-products/oikos-protein-shakes/product/strawberry-4-pack/,22,5,4.4,14.6,70,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/peach-multipack,22,8,2.75,3,49,0,0
/content/edp/noram/oikos/us/en/all-products/pro-yogurt-cultured-ultra-filtered-milk/product.html,22,6,3.6666666666666665,0.6666666666666666,72,0,0
/content/edp/noram/oikos/us/en/stronger-makes-everything-better.danone-devices.html,22,3,7.333333333333333,0,46,0,0
/greek-yogurt-recipes/breakfast/recipe/banana-berry-breakfast-crumble/,22,10,2.2,8.9,45,0,0
/greek-yogurt-recipes/savory/recipe/dijon-salmon-cakes-and-arugula-with-lemon-caper-oil/,22,10,2.2,10,49,0,0
/greek-yogurt-recipes/seasonal/recipe/pumpkin-nut-cake,22,10,2.2,18.1,45,0,0
/greek-yogurt-recipes/seasonal/recipe/pumpkin-nut-cake/,22,12,1.8333333333333333,4.25,51,0,0
/greek-yogurt/greek-nonfat-yogurt/plain,22,16,1.375,0.375,64,0,0
/greek-yogurts,22,12,1.8333333333333333,0.25,46,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/cherry,21,11,1.9090909090909092,1.1818181818181819,52,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/mixed-berry-shot,21,10,2.1,5.2,60,0,0
/stronger-makes-everything-better,21,13,1.6153846153846154,0.07692307692307693,47,0,0
/all-products/greek-yogurt/plain/,20,13,1.5384615384615385,0.5384615384615384,48,0,0
